"matricula";"valor"
82578;37,99
4507;9,96
15388;9,04
6312;44
11080;8,51
43042;12,02
32268;17,64
54445;44
17624;15,73
13532;10,93
34215;6,18
22913;31,68
13664;28,7
5942;19,63
37317;6,38
95182;16,02
13631;40,17
33753;21,67
84129;14,03
49528;10,85
19943;37,82
77024;44
6924;29,62
38349;44
113753;6,18
71597;15,33
6494;44
18101;34,28
26682;44
56929;44
42697;44
32383;15,56
63255;12,16
28407;44
35469;44
30148;40,52
73510;14,81
62240;10,11
21626;6,19
40162;9,37
901868;6,18
45252;3,13
55574;8,96
9613;25,94
64022;42,68
109280;6,18
6056;26,25
5751;44
20321;11,84
71381;11,53
3608;44
5884;15,57
63578;44
91595;6,18
27607;5,94
8516;6,18
11015;29,55
2501;13,79
10249;18,03
27748;6,18
27672;6,18
30437;44
111187;6,18
116475;6,18
72322;6,18
77123;3,09
46508;5,59
54429;31,77
109884;7,29
55665;20,75
68031;6,18
11544;35,4
70730;19,92
25635;11,41
11817;16,45
5405;6,31
77511;6,18
4663;10,22
21279;7,26
39164;16,72
2881;21,23
41756;44
62885;10,07
25981;6,53
13706;17,04
13961;44
109488;6,18
83428;6,18
58545;7,25
21832;30,13
2675;44
62596;17,06
2030;16,4
83097;24,84
14555;44
83329;7,03
18119;44
48272;44
35949;25,94
15206;44
